0	1   2
1	-5.8	-13.1
2	-4.7	-12.0
3	1.3	-4.9
4	-0.9	-3.5
5	0.2	-5.0
6	1.5	-4.6
7	5.2	-2.0
8	3.8	-0.7
9	1.4	-1.5
10	-0.2	-2.2
11	0.1	-4.4
12	3.9	-6.1
13	3.4	0.8
14	2.7	-0.5
15	2.2	-3.6
16	0.6	-9.0
17	-0.2	-11.5
18	-2.8	-9.8
19	-0.1	-5.8
20	3.0	-2.4
21	3.2	-1.7
22	-0.2	-7.5
23	-2.1	-6.6
24	-6.6	-13.7
25	-6.7	-13.3
26	-9.4	-17.0
27	-6.0	-17.9
28	0.3	-12.8
29	-1.2	-6.6
30	-3.9	-5.9
31	-1.4	-9.3
32	0.3	-10.1
33	-2.1	-11.6
34	3.1	-7.2
35	1.1	-4.0
36	-1.4	-3.6
37	0.1	-5.1
38	-0.9	-2.9
39	4.2	-2.9
40	2.6	-4.4
41	-0.8	-11.4
42	-2.4	-10.7
43	0.6	-12.4
44	1.3	-4.5
45	2.1	-0.7
46	2.3	-1.0
47	3.0	0.8
48	2.8	0.7
49	5.8	0.6
50	8.3	3.3
51	5.4	-1.5
52	0.1	-9.3
53	1.6	-11.1
54	1.8	-10.8
55	2.8	-8.2
56	1.7	-10.1
57	2.6	-10.5
58	3.5	-7.9
59	4.1	-6.6
60	3.4	-6.7
61	6.3	-0.4
62	1.4	-1.2
63	4.7	-0.1
64	6.3	-1.6
65	6.3	0.8
66	5.6	-0.4
67	8.7	-2.5
68	9.1	-1.5
69	13.6	-1.1
70	14.2	5.9
71	14.2	4.3
72	15.3	1.5
73	15.0	4.3
74	13.5	4.5
75	10.8	6.2
76	15.4	4.7
77	15.2	7.4
78	7.9	4.2
79	12.9	3.6
80	11.1	6.9
81	10.8	3.6
82	7.5	3.3
83	8.7	2.4
84	9.8	3.4
85	9.9	3.1
86	8.0	3.1
87	9.5	-1.1
88	9.1	0.4
89	14.7	4.8
90	13.4	4.7
91	13.7	0.8
92	15.3	8.6
93	17.2	7.2
94	10.9	6.6
95	23.7	4.7
96	24.5	13.6
97	23.8	15.5
98	21.6	7.1
99	19.3	5.2
100	21.0	9.4
101	25.2	14.2
102	23.4	8.9
103	21.9	8.1
104	12.0	3.6
